customer_id,full_name,date_of_birth,age,gender,email,phone_number,city,state,pincode,occupation,annual_income,account_type,account_number,account_open_date,account_balance,credit_score,credit_card_holder,bank_name,bank_type,bank_hq,bank_established,bank_tier,ifsc_code,swift_code,rbi_license,total_branches,branch_id,relationship_manager,kyc_status
CUST000001,Rahul Sharma,21-12-1971,54,Male,rahul.sharma95@hotmail.com,-7373399335,Jaipur,Rajasthan,302001,Government Employee,434012.87,Savings,ACC1939042955,03-01-2015,203388.42,404,Yes,ICICI Bank,Private Sector,Mumbai,1994,Tier-1,ICIC0003279,ICICINBB,SCB-003,6523,BR0036,RM026,Verified
CUST000002,Noah Pandey,20-04-1990,36,Male,noah.pandey90@rediffmail.com,-8461364763,Ahmedabad,Gujarat,380001,Businessman,1776843,Salary,ACC1438989805,21-03-2023,2006847.51,306,No,Axis Bank,Private Sector,Mumbai,1993,Tier-1,UTIB0003773,AXISINBB,SCB-005,5000,BR0007,RM046,Verified
CUST000003,Divya Bhat,24-11-1953,72,Male,divya.bhat71@outlook.com,-9699987283,Jaipur,Rajasthan,302001,Accountant,5824239.2,Savings,ACC9786748825,21-04-2020,4843582.67,687,Yes,HDFC Bank,Private Sector,Mumbai,1994,Tier-1,HDFC0001419,HDFCINBB,SCB-002,7821,BR0050,RM038,Verified
CUST000004,Sai Davis,23-01-1959,67,Male,sai.davis48@outlook.com,-7899825747,Ahmedabad,Gujarat,380001,Lawyer,7053984.7,Savings,ACC4131575764,11-07-2018,2445678.69,673,Yes,HDFC Bank,Private Sector,Mumbai,1994,Tier-1,HDFC0006277,HDFCINBB,SCB-002,7821,BR0030,RM049,Verified
CUST000005,Ramesh Moore,14-09-1969,56,Male,ramesh.moore5@outlook.com,-8722989568,Vadodara,Gujarat,390001,Doctor,1359658,Recurring Deposit,ACC2351531223,10-04-2017,227828.74,357,No,Punjab National Bank,Public Sector,New Delhi,1894,Tier-1,PUNB0008825,PUNBINBB,SCB-004,10000,BR0026,RM083,Verified
CUST000006,Sachin Gupta,12-07-1962,63,Female,sachin.gupta96@hotmail.com,-8840109164,Jaipur,Rajasthan,302001,Government Employee,3696524.86,Current,ACC7483366056,14-07-2015,2992320.98,851,Yes,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0008017,SBININBB,SCB-001,22542,BR0049,RM007,Verified
CUST000007,Rahul Gupta,16-11-1987,38,Female,rahul.gupta60@hotmail.com,-8079815313,Pune,Maharashtra,680099,Software Engineer,757131,Savings,ACC8047877267,18-05-2023,3143855.23,690,Yes,HDFC Bank,Private Sector,Mumbai,1994,Tier-1,HDFC0009641,HDFCINBB,SCB-002,7821,BR0019,RM056,Pending
CUST000008,Deepika Mishra,18-08-1973,52,Male,deepika.mishra81@outlook.com,-9744267084,Mumbai,Maharashtra,632323,Sales Executive,2085241.69,Salary,ACC4274958945,24-03-2021,1902885.92,819,Yes,HDFC Bank,Private Sector,Mumbai,1994,Tier-1,HDFC0006128,HDFCINBB,SCB-002,7821,BR0039,RM042,Verified
CUST000009,Emma Sharma,26-07-1982,43,Male,emma.sharma11@gmail.com,-9087313030,Chennai,Tamil Nadu,955662,Doctor,2037054,Recurring Deposit,ACC4289233844,24-11-2016,10584299.66,546,Yes,IndusInd Bank,Private Sector,Pune,1994,Tier-2,INDB0003484,INDBINBB,SCB-009,2606,BR0043,RM061,Verified
CUST000010,Ava Shah,04-05-1997,29,Female,ava.shah97@yahoo.com,-8338811199,Jaipur,Rajasthan,302001,Manager,6540795.21,Fixed Deposit,ACC2939118223,10-08-2023,650837.04,516,Yes,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0002933,SBININBB,SCB-001,22542,BR0015,RM009,Verified
