loan_id,customer_id,loan_type,principal_amount,interest_rate_pct,tenure_months,emi_amount,disbursement_date,paid_emis,outstanding_balance,loan_status,late_payment_count,collateral_type,application_channel,processing_fee,insurance_taken,co_applicant,foreclosure_flag,npa_flag,last_payment_date,bank_name,bank_type,bank_tier,sanctioned_by_branch,loan_account_no,loan_approval_date,rbi_classification,disbursement_mode,loan_purpose,swift_code
LN0000001,CUST007909,Car Loan,9916792.01,12.39,48,263050.13,03-12-2020,9,8057393.51,Active,8,Vehicle,Referral,70537.78,Yes,Yes,No,No,04-01-2023,South Indian Bank,Private Sector,Tier-2,SIBL0009239,LA2125222552,25-11-2020,Standard,Direct Credit,New Car,SIBLINBB
LN0000002,CUST006500,Personal Loan,991182.51,15.71,24,48394.15,19-01-2020,13,454291.98,Defaulted,4,Vehicle,Branch,18531.73,Yes,Yes,,Yes,07-12-2023,Punjab National Bank,Public Sector,Tier-1,PUNB0005667,LA2532226424,07-01-2020,Loss,NEFT,Debt Consolidation,PUNBINBB
LN0000003,CUST003437,Business Loan,9946925.87,16.71,60,245658.34,14-11-2021,48,1989385.17,Under Review,11,Property,Online,116864.15,No,No,No,No,02-01-2023,Canara Bank,Public Sector,Tier-1,CNRB0009801,LA6051031398,05-11-2021,Standard,Direct Credit,Working Capital,CNRBINBB
LN0000004,CUST004471,Gold Loan,1186005.01,15.49,240,16048.26,20-05-2017,167,360743.19,Active,5,Fixed Deposit,Branch,22463.44,No,No,,No,23-08-2023,ICICI Bank,Private Sector,Tier-1,ICIC0009035,LA3709470405,06-05-2017,Standard,Cheque,Business,ICICINBB
LN0000005,CUST000014,Personal Loan,3364270.52,7.37,48,81140.42,23-03-2023,27,1471868.35,Closed,7,Vehicle,DSA,50309.95,No,Yes,Yes,No,13-06-2023,Punjab National Bank,Public Sector,Tier-1,PUNB0004433,LA5677399526,20-03-2023,Standard,NEFT,Medical,PUNBINBB
LN0000006,CUST008337,Education Loan,642811.79,10.46,24,29799.17,25-11-2021,6,482108.84,Closed,1,Vehicle,Online,4121.1,No,Yes,,No,11-12-2023,State Bank of India,Public Sector,Tier-1,SBIN0000584,LA1437233538,21-11-2021,Standard,Cheque,Postgraduate,SBININBB
LN0000007,CUST009493,Education Loan,2547667.45,12.33,180,31119.25,18-03-2022,165,212305.62,Under Review,3,Vehicle,Mobile App,30049.77,Yes,Yes,Yes,No,06-06-2023,IDBI Bank,Public Sector,Tier-2,IBKL0005739,LA2962060247,05-03-2022,Standard,Cheque,Overseas Study,IBKLINBB
LN0000008,CUST008083,Gold Loan,7377060.47,7.57,180,68680.04,10-04-2021,121,2418036.49,Active,4,Gold,DSA,76244.68,No,No,No,No,14-08-2023,State Bank of India,Public Sector,Tier-1,SBIN0004972,LA5759908330,05-04-2021,Standard,RTGS,Emergency,SBININBB
LN0000009,CUST001316,Personal Loan,3737158.26,9.31,24,171263.15,13-03-2021,0,3737158.26,Active,0,Vehicle,DSA,27150.74,Yes,No,Yes,No,08-05-2023,State Bank of India,Public Sector,Tier-1,SBIN0000907,LA9813776015,02-03-2021,Standard,NEFT,Travel,SBININBB
LN0000010,CUST003673,Personal Loan,544308.02,14.82,36,18820.67,13-05-2022,20,241914.68,Closed,4,Gold,Mobile App,10008.9,Yes,Yes,Yes,No,23-06-2023,HDFC Bank,Private Sector,Tier-1,HDFC0008753,LA5250002267,03-05-2022,Standard,Direct Credit,Debt Consolidation,HDFCINBB
LN0000011,CUST000454,Business Loan,615143.95,14.51,48,16967.51,17-01-2022,23,320387.47,Closed,6,Fixed Deposit,Mobile App,8730.94,No,No,,No,12-06-2023,Punjab National Bank,Public Sector,Tier-1,PUNB0000297,LA3505350920,17-01-2022,Standard,Direct Credit,Trade Finance,PUNBINBB
LN0000012,CUST003648,Education Loan,7792951.44,8.72,36,246799.48,11-04-2017,4,6927067.95,Closed,4,Gold,Branch,53493.33,No,No,,No,19-02-2023,HDFC Bank,Private Sector,Tier-1,HDFC0000855,LA1860994278,05-04-2017,Standard,Cheque,Overseas Study,HDFCINBB
LN0000013,CUST009085,Personal Loan,2693400.99,16.32,84,53988.55,24-04-2016,75,288578.68,Closed,7,Gold,Referral,37446.04,Yes,Yes,Yes,No,27-12-2023,Kotak Mahindra Bank,Private Sector,Tier-1,KKBK0002052,LA8907758715,12-04-2016,Standard,Cheque,Home Renovation,KKBKINBB
LN0000014,CUST004003,Personal Loan,1819938.7,10.42,12,160357.25,04-01-2017,2,1516615.58,Defaulted,1,Gold,Online,16732.69,Yes,No,Yes,Yes,01-01-2023,ICICI Bank,Private Sector,Tier-1,ICIC0006994,LA8363024317,21-12-2016,Loss,Direct Credit,Travel,ICICINBB
LN0000015,CUST005549,Home Loan,6701687.33,11.9,12,595123.34,10-01-2019,11,558473.94,Under Review,6,,Online,130715.18,Yes,Yes,,No,13-12-2023,Punjab National Bank,Public Sector,Tier-1,PUNB0001894,LA2018961736,04-01-2019,Standard,Cheque,Purchase,PUNBINBB
LN0000016,CUST004931,Personal Loan,366351.67,16.18,84,7314.11,02-03-2020,70,61058.61,Closed,9,Vehicle,Branch,3712.8,No,No,No,No,30-05-2023,State Bank of India,Public Sector,Tier-1,SBIN0006025,LA4543021546,24-02-2020,Standard,IMPS,Travel,SBININBB
LN0000017,CUST002061,Gold Loan,9435047.26,11.05,120,130234.97,28-02-2023,110,786253.94,Under Review,6,Vehicle,Referral,107460.32,No,Yes,No,No,25-12-2023,Bank of Baroda,Public Sector,Tier-1,BARB0005622,LA3715284212,20-02-2023,Standard,Cheque,Emergency,BARBINBB
LN0000018,CUST009685,Personal Loan,5074978.64,11.34,60,111204.8,03-06-2023,20,3383319.09,Active,0,,Online,101144.32,Yes,No,No,No,04-06-2023,State Bank of India,Public Sector,Tier-1,SBIN0003903,LA6637442890,28-05-2023,Standard,RTGS,Medical,SBININBB
LN0000019,CUST006686,Gold Loan,2365729.67,15.26,60,56603.93,28-12-2018,37,906863.04,Under Review,2,Gold,Referral,43058.56,No,Yes,Yes,No,18-12-2023,RBL Bank,Private Sector,Tier-2,RATN0009644,LA1826841790,23-12-2018,Standard,NEFT,Business,RATNINBB
LN0000020,CUST009654,Home Loan,2071922.43,6.65,24,92436.91,01-08-2019,10,1208621.42,Defaulted,8,Gold,Mobile App,22213.84,No,Yes,,Yes,13-04-2023,State Bank of India,Public Sector,Tier-1,SBIN0006768,LA4000549073,23-07-2019,Standard,Direct Credit,Purchase,SBININBB
